Date,Type,Press Conference,Scheduled FOMC,Unscheduled FOMC,SEP,Dotplot,Monetary Policy Report,Minutes Released
9/18/2007,FOMC Statement,0,1,0,0,0,0,0
10/9/2007,Minutes,0,0,0,0,0,0,1
10/31/2007,FOMC Statement,0,1,0,1,0,0,0
11/20/2007,Minutes,0,0,0,0,0,0,1
12/6/2007,FOMC Statement,0,0,1,0,0,0,0
12/11/2007,FOMC Statement,0,1,0,0,0,0,0
1/2/2008,Minutes,0,0,0,0,0,0,1
1/9/2008,FOMC Statement,0,0,1,0,0,0,0
1/22/2008,FOMC Statement,0,0,1,0,0,0,0
1/30/2008,FOMC Statement,0,1,0,1,0,0,0
2/20/2008,Minutes,0,0,0,0,0,0,1
2/27/2008,Monetary Policy Report,0,0,0,0,0,1,0
3/10/2008,FOMC Statement,0,0,1,0,0,0,0
3/18/2008,FOMC Statement,0,1,0,0,0,0,0
4/8/2008,Minutes,0,0,0,0,0,0,1
4/30/2008,FOMC Statement,0,1,0,1,0,0,0
5/21/2008,Minutes,0,0,0,0,0,0,1
6/25/2008,FOMC Statement,0,1,0,1,0,0,0
7/15/2008,Monetary Policy Report,0,0,0,0,0,1,0
7/16/2008,Minutes,0,0,0,0,0,0,1
7/24/2008,FOMC Statement,0,0,1,0,0,0,0
8/5/2008,FOMC Statement,0,1,0,0,0,0,0
8/26/2008,Minutes,0,0,0,0,0,0,1
9/16/2008,FOMC Statement,0,1,0,0,0,0,0
9/29/2008,FOMC Statement,0,0,1,0,0,0,0
10/7/2008,Minutes,0,0,1,0,0,0,1
10/29/2008,FOMC Statement,0,1,0,1,0,0,0
11/19/2008,Minutes,0,0,0,0,0,0,1
12/16/2008,FOMC Statement,0,1,0,0,0,0,0
1/6/2009,Minutes,0,0,0,0,0,0,1
1/16/2009,FOMC Statement,0,0,1,0,0,0,0
1/28/2009,FOMC Statement,0,1,0,1,0,0,0
2/7/2009,FOMC Statement,0,0,1,0,0,0,0
2/18/2009,Minutes,0,0,0,0,0,0,1
2/24/2009,Monetary Policy Report,0,0,0,0,0,1,0
3/18/2009,FOMC Statement,0,1,0,0,0,0,0
4/8/2009,Minutes,0,0,0,0,0,0,1
4/29/2009,FOMC Statement,0,1,0,1,0,0,0
5/20/2009,Minutes,0,0,0,0,0,0,1
6/3/2009,FOMC Statement,0,0,1,0,0,0,0
6/24/2009,FOMC Statement,0,1,0,1,0,0,0
7/15/2009,Minutes,0,0,0,0,0,0,1
7/21/2009,Monetary Policy Report,0,0,0,0,0,1,0
8/12/2009,FOMC Statement,0,1,0,0,0,0,0
9/2/2009,Minutes,0,0,0,0,0,0,1
9/23/2009,FOMC Statement,0,1,0,0,0,0,0
10/14/2009,Minutes,0,0,0,0,0,0,1
11/4/2009,FOMC Statement,0,1,0,1,0,0,0
11/24/2009,Minutes,0,0,0,0,0,0,1
12/16/2009,FOMC Statement,0,1,0,0,0,0,0
1/6/2010,Minutes,0,0,0,0,0,0,1
1/27/2010,FOMC Statement,0,1,0,1,0,0,0
2/17/2010,Minutes,0,0,0,0,0,0,1
2/24/2010,Monetary Policy Report,0,0,0,0,0,1,0
3/16/2010,FOMC Statement,0,1,0,0,0,0,0
4/6/2010,Minutes,0,0,0,0,0,0,1
4/28/2010,FOMC Statement,0,1,0,1,0,0,0
5/9/2010,FOMC Statement,0,0,1,0,0,0,0
5/19/2010,Minutes,0,0,0,0,0,0,1
6/23/2010,FOMC Statement,0,1,0,1,0,0,0
7/14/2010,Minutes,0,0,0,0,0,0,1
7/21/2010,Monetary Policy Report,0,0,0,0,0,1,0
8/10/2010,FOMC Statement,0,1,0,0,0,0,0
8/31/2010,Minutes,0,0,0,0,0,0,1
9/21/2010,FOMC Statement,0,1,0,0,0,0,0
10/12/2010,Minutes,0,0,0,0,0,0,1
10/15/2010,FOMC Statement,0,0,1,0,0,0,0
11/3/2010,FOMC Statement,0,1,0,1,0,0,0
11/23/2010,Minutes,0,0,0,0,0,0,1
12/14/2010,FOMC Statement,0,1,0,0,0,0,0
1/4/2011,Minutes,0,0,0,0,0,0,1
1/26/2011,FOMC Statement,0,1,0,1,0,0,0
2/16/2011,Minutes,0,0,0,0,0,0,1
3/1/2011,Monetary Policy Report,0,0,0,0,0,1,0
3/15/2011,FOMC Statement,0,1,0,0,0,0,0
4/5/2011,Minutes,0,0,0,0,0,0,1
4/27/2011,FOMC Statement,1,1,0,1,0,0,0
5/18/2011,Minutes,0,0,0,0,0,0,1
6/22/2011,FOMC Statement,1,1,0,1,0,0,0
7/12/2011,Minutes,0,0,0,0,0,0,1
7/13/2011,Monetary Policy Report,0,0,0,0,0,1,0
8/1/2011,FOMC Statement,0,0,1,0,0,0,0
8/9/2011,FOMC Statement,0,1,0,0,0,0,0
8/30/2011,Minutes,0,0,0,0,0,0,1
9/21/2011,FOMC Statement,0,1,0,0,0,0,0
10/12/2011,Minutes,0,0,0,0,0,0,1
11/2/2011,FOMC Statement,1,1,0,1,0,0,0
11/22/2011,Minutes,0,0,0,0,0,0,1
11/28/2011,FOMC Statement,0,0,1,0,0,0,0
12/13/2011,FOMC Statement,0,1,0,0,0,0,0
1/3/2012,Minutes,0,0,0,0,0,0,1
1/25/2012,FOMC Statement,1,1,0,1,1,0,0
2/15/2012,Minutes,0,0,0,0,0,0,1
2/29/2012,Monetary Policy Report,0,0,0,0,0,1,0
3/13/2012,FOMC Statement,0,1,0,0,0,0,0
4/3/2012,Minutes,0,0,0,0,0,0,1
4/25/2012,FOMC Statement,1,1,0,1,1,0,0
5/16/2012,Minutes,0,0,0,0,0,0,1
6/20/2012,FOMC Statement,1,1,0,1,1,0,0
